Sport,Sporting Event Name,athletes,country_name,athlete_full_name,Olympic Host,Olympic Name,Year
Figure skating,Pair Skating,"[('Aleksandra BOIKOVA', 'https://olympics.com/en/athletes/aleksandra-boikova'), ('Dmitrii KOZLOVSKII', 'https://olympics.com/en/athletes/dmitrii-kozlovskii')]",ROC,,China,Beijing 2022,2022
Figure skating,Pair Skating,"[('Cheng PENG', 'https://olympics.com/en/athletes/cheng-peng'), ('Yang JIN', 'https://olympics.com/en/athletes/yang-jin')]",People's Republic of China,,China,Beijing 2022,2022
Figure skating,Pair Skating,"[('Alexa SCIMECA KNIERIM', 'https://olympics.com/en/athletes/scimeca-knierim'), ('Brandon FRAZIER', 'https://olympics.com/en/athletes/frazier')]",United States of America,,China,Beijing 2022,2022
Figure skating,Pair Skating,"[('Ashley CAIN-GRIBBLE', 'https://olympics.com/en/athletes/cain'), ('Timothy LEDUC', 'https://olympics.com/en/athletes/leduc')]",United States of America,,China,Beijing 2022,2022
Figure skating,Pair Skating,"[('Riku MIURA', 'https://olympics.com/en/athletes/miura'), ('Ryuichi KIHARA', 'https://olympics.com/en/athletes/ryuichi-kihara')]",Japan,,China,Beijing 2022,2022
Figure skating,Pair Skating,"[('Karina SAFINA', 'https://olympics.com/en/athletes/karina-safina'), ('Luka BERULAVA', 'https://olympics.com/en/athletes/luka-berulava')]",Georgia,,China,Beijing 2022,2022
Figure skating,Pair Skating,"[('Kirsten MOORE-TOWERS', 'https://olympics.com/en/athletes/kirsten-moore-towers'), ('Michael MARINARO', 'https://olympics.com/en/athletes/marinaro')]",Canada,,China,Beijing 2022,2022
Figure skating,Pair Skating,"[('Vanessa JAMES', 'https://olympics.com/en/athletes/vanessa-james'), ('Eric RADFORD', 'https://olympics.com/en/athletes/eric-radford')]",Canada,,China,Beijing 2022,2022
Figure skating,Pair Skating,"[('Laura BARQUERO', 'https://olympics.com/en/athletes/barquero'), ('Marco ZANDRON', 'https://olympics.com/en/athletes/marco-zandron')]",Spain,,China,Beijing 2022,2022
Figure skating,Pair Skating,"[('Nicole DELLA MONICA', 'https://olympics.com/en/athletes/nicole-della-monica'), ('Matteo GUARISE', 'https://olympics.com/en/athletes/matteo-guarise')]",Italy,,China,Beijing 2022,2022
Figure skating,Pair Skating,"[('Rebecca GHILARDI', 'https://olympics.com/en/athletes/ghilardi'), ('Filippo AMBROSINI', 'https://olympics.com/en/athletes/ambrosini')]",Italy,,China,Beijing 2022,2022
Figure skating,Pair Skating,"[('Hailey KOPS', 'https://olympics.com/en/athletes/hailey-kops'), ('Evgeni KRASNOPOLSKI', 'https://olympics.com/en/athletes/evgeni-krasnopolski')]",Israel,,China,Beijing 2022,2022
Figure skating,Pair Skating,"[('Minerva Fabienne HASE', 'https://olympics.com/en/athletes/hase'), ('Nolan SEEGERT', 'https://olympics.com/en/athletes/seegert')]",Germany,,China,Beijing 2022,2022
Figure skating,Pair Skating,"[('Jelizaveta ŽUKOVÁ', 'https://olympics.com/en/athletes/jelizaveta-zukova'), ('Martin BIDAŘ', 'https://olympics.com/en/athletes/martin-bidar')]",Czech Republic,,China,Beijing 2022,2022
Figure skating,Pair Skating,"[('Miriam ZIEGLER', 'https://olympics.com/en/athletes/miriam-ziegler'), ('Severin KIEFER', 'https://olympics.com/en/athletes/severin-kiefer')]",Austria,,China,Beijing 2022,2022
Figure skating,Pair Skating,"[('Ioulia CHTCHETININA', 'https://olympics.com/en/athletes/ioulia-chtchetinina'), ('Mark MAGYAR', 'https://olympics.com/en/athletes/magyar')]",Hungary,,China,Beijing 2022,2022
Figure skating,Ice Dance,"[('Gabriella PAPADAKIS', 'https://olympics.com/en/athletes/gabriella-papadakis'), ('Guillaume CIZERON', 'https://olympics.com/en/athletes/guillaume-cizeron')]",France,,China,Beijing 2022,2022
Figure skating,Ice Dance,"[('Victoria SINITSINA', 'https://olympics.com/en/athletes/victoria-sinitsina'), ('Nikita KATSALAPOV', 'https://olympics.com/en/athletes/nikita-katsalapov')]",ROC,,China,Beijing 2022,2022
Figure skating,Ice Dance,"[('Madison HUBBELL', 'https://olympics.com/en/athletes/madison-hubbell'), ('Zachary DONOHUE', 'https://olympics.com/en/athletes/donohue')]",United States of America,,China,Beijing 2022,2022
Figure skating,Ice Dance,"[('Madison CHOCK', 'https://olympics.com/en/athletes/madison-chock'), ('Evan BATES', 'https://olympics.com/en/athletes/evan-bates')]",United States of America,,China,Beijing 2022,2022
Figure skating,Ice Dance,"[('Kaitlin HAWAYEK', 'https://olympics.com/en/athletes/hawayek'), ('Jean-Luc BAKER', 'https://olympics.com/en/athletes/baker')]",United States of America,,China,Beijing 2022,2022
Figure skating,Ice Dance,"[('Charlene GUIGNARD', 'https://olympics.com/en/athletes/charlene-guignard'), ('Marco FABBRI', 'https://olympics.com/en/athletes/marco-fabbri')]",Italy,,China,Beijing 2022,2022
Figure skating,Ice Dance,"[('Alexandra STEPANOVA', 'https://olympics.com/en/athletes/stepanova'), ('Ivan BUKIN', 'https://olympics.com/en/athletes/ivan-bukin-x2110')]",ROC,,China,Beijing 2022,2022
Figure skating,Ice Dance,"[('Diana DAVIS', 'https://olympics.com/en/athletes/diana-davis'), ('Gleb SMOLKIN', 'https://olympics.com/en/athletes/gleb-smolkin-x4577')]",ROC,,China,Beijing 2022,2022
Figure skating,Ice Dance,"[('Piper GILLES', 'https://olympics.com/en/athletes/gilles'), ('Paul POIRIER', 'https://olympics.com/en/athletes/paul-poirier')]",Canada,,China,Beijing 2022,2022
Figure skating,Ice Dance,"[('Laurence FOURNIER-BEAUDRY', 'https://olympics.com/en/athletes/laurence-fournier-beaudry'), ('Nikolaj SØRENSEN', 'https://olympics.com/en/athletes/nikolaj-sorensen')]",Canada,,China,Beijing 2022,2022
Figure skating,Ice Dance,"[('Marjorie LAJOIE', 'https://olympics.com/en/athletes/marjorie-lajoie'), ('Zachary LAGHA', 'https://olympics.com/en/athletes/zachary-lagha')]",Canada,,China,Beijing 2022,2022
Figure skating,Ice Dance,"[('Olivia Sophie Smart', 'https://olympics.com/en/athletes/olivia-smart'), ('Adrian DIAZ', 'https://olympics.com/en/athletes/diaz')]",Spain,,China,Beijing 2022,2022
Figure skating,Ice Dance,"[('Lilah FEAR', 'https://olympics.com/en/athletes/fear'), ('Lewis GIBSON', 'https://olympics.com/en/athletes/gibson-1')]",Great Britain,,China,Beijing 2022,2022
Figure skating,Ice Dance,"[('Shiyue WANG', 'https://olympics.com/en/athletes/wang-4'), ('Xinyu LIU', 'https://olympics.com/en/athletes/liu-2')]",People's Republic of China,,China,Beijing 2022,2022
Figure skating,Ice Dance,"[('Juulia TURKKILA', 'https://olympics.com/en/athletes/juulia-turkkila'), ('Matthias VERSLUIS', 'https://olympics.com/en/athletes/matthias-versluis')]",Finland,,China,Beijing 2022,2022
Figure skating,Ice Dance,"[('Natálie TASCHLEROVÁ', 'https://olympics.com/en/athletes/natalie-taschlerova'), ('Filip TASCHLER', 'https://olympics.com/en/athletes/filip-taschler')]",Czech Republic,,China,Beijing 2022,2022
Figure skating,Ice Dance,"[('Natalia KALISZEK', 'https://olympics.com/en/athletes/kaliszek'), ('Maksym SPODYRIEV', 'https://olympics.com/en/athletes/spodyriev')]",Poland,,China,Beijing 2022,2022
Figure skating,Ice Dance,"[('Tina GARABEDIAN', 'https://olympics.com/en/athletes/tina-garabedian'), ('Simon PROULX SENECAL', 'https://olympics.com/en/athletes/simon-proulx-senecal')]",Armenia,,China,Beijing 2022,2022
Figure skating,Ice Dance,"[('Maria KAZAKOVA', 'https://olympics.com/en/athletes/maria-kazakova'), ('Georgy REVIYA', 'https://olympics.com/en/athletes/georgy-reviya')]",Georgia,,China,Beijing 2022,2022
Figure skating,Ice Dance,"[('Maria KAZAKOVA', 'https://olympics.com/en/athletes/maria-kazakova'), ('Georgy REVIYA', 'https://olympics.com/en/athletes/georgy-reviya')]",Ukraine,,China,Beijing 2022,2022
Figure skating,Ice Dance,"[('Katharina MUELLER', 'https://olympics.com/en/athletes/mueller-1'), ('Tim DIECK', 'https://olympics.com/en/athletes/dieck')]",Germany,,China,Beijing 2022,2022
Figure skating,Ice Dance,"[('Misato KOMATSUBARA', 'https://olympics.com/en/athletes/misato-komatsubara'), ('Tim KOLETO', 'https://olympics.com/en/athletes/tim-koleto')]",Japan,,China,Beijing 2022,2022
Figure skating,Ice Dance,"[('Paulina RAMANAUSKAITE', 'https://olympics.com/en/athletes/paulina-ramanauskaite'), ('Deividas KIZALA', 'https://olympics.com/en/athletes/deividas-kizala')]",Lithuania,,China,Beijing 2022,2022
Speed skating,Women's Team Pursuit,,Canada,,China,Beijing 2022,2022
Speed skating,Women's Team Pursuit,,Japan,,China,Beijing 2022,2022
Speed skating,Women's Team Pursuit,,Netherlands,,China,Beijing 2022,2022
Speed skating,Women's Team Pursuit,,ROC,,China,Beijing 2022,2022
Speed skating,Women's Team Pursuit,,People's Republic of China,,China,Beijing 2022,2022
Speed skating,Women's Team Pursuit,,Norway,,China,Beijing 2022,2022
Speed skating,Women's Team Pursuit,,Belarus,,China,Beijing 2022,2022
Speed skating,Women's Team Pursuit,,Poland,,China,Beijing 2022,2022
Speed skating,Men's Team Pursuit,,Norway,,China,Beijing 2022,2022
Speed skating,Men's Team Pursuit,,ROC,,China,Beijing 2022,2022
Speed skating,Men's Team Pursuit,,United States of America,,China,Beijing 2022,2022
Speed skating,Men's Team Pursuit,,Netherlands,,China,Beijing 2022,2022
Speed skating,Men's Team Pursuit,,Canada,,China,Beijing 2022,2022
Speed skating,Men's Team Pursuit,,Republic of Korea,,China,Beijing 2022,2022
Speed skating,Men's Team Pursuit,,Italy,,China,Beijing 2022,2022
Speed skating,Men's Team Pursuit,,People's Republic of China,,China,Beijing 2022,2022
Short Track Speed Skating,Women's 500m,,ROC,Elena SEREGINA,China,Beijing 2022,2022
Short Track Speed Skating,Women's 500m,,France,Tifany HUOT MARCHAND,China,Beijing 2022,2022
Short Track Speed Skating,Women's 1000m,,France,Tifany HUOT MARCHAND,China,Beijing 2022,2022
Short Track Speed Skating,Women's 1500m,,France,Tifany HUOT MARCHAND,China,Beijing 2022,2022
Short Track Speed Skating,Women's 500m,,United States of America,Maame BINEY,China,Beijing 2022,2022
Short Track Speed Skating,Women's 1000m,,United States of America,Maame BINEY,China,Beijing 2022,2022
Short Track Speed Skating,Women's 500m,,United States of America,Corinne STODDARD,China,Beijing 2022,2022
Short Track Speed Skating,Women's 1000m,,United States of America,Corinne STODDARD,China,Beijing 2022,2022
Short Track Speed Skating,Women's 1500m,,United States of America,Corinne STODDARD,China,Beijing 2022,2022
Short Track Speed Skating,Women's 500m,,United States of America,Kristen SANTOS,China,Beijing 2022,2022
Short Track Speed Skating,Women's 1000m,,United States of America,Kristen SANTOS,China,Beijing 2022,2022
Short Track Speed Skating,Women's 1500m,,United States of America,Kristen SANTOS,China,Beijing 2022,2022
Short Track Speed Skating,Women's 500m,,ROC,Ekaterina EFREMENKOVA,China,Beijing 2022,2022
Short Track Speed Skating,Women's 1000m,,ROC,Ekaterina EFREMENKOVA,China,Beijing 2022,2022
Short Track Speed Skating,Women's 1500m,,ROC,Ekaterina EFREMENKOVA,China,Beijing 2022,2022
Short Track Speed Skating,Women's 500m,,Canada,Kim BOUTIN,China,Beijing 2022,2022
Short Track Speed Skating,Women's 1000m,,Canada,Kim BOUTIN,China,Beijing 2022,2022
Short Track Speed Skating,Women's 1500m,,Canada,Kim BOUTIN,China,Beijing 2022,2022
Short Track Speed Skating,Women's 500m,,Italy,Martina VALCEPINA,China,Beijing 2022,2022
Short Track Speed Skating,Women's 500m,,People's Republic of China,Chunyu QU,China,Beijing 2022,2022
Short Track Speed Skating,Women's 1000m,,People's Republic of China,Chunyu QU,China,Beijing 2022,2022
Short Track Speed Skating,Women's 500m,,Netherlands,Xandra VELZEBOER,China,Beijing 2022,2022
Short Track Speed Skating,Women's 1000m,,Netherlands,Xandra VELZEBOER,China,Beijing 2022,2022
Short Track Speed Skating,Women's 1500m,,Netherlands,Xandra VELZEBOER,China,Beijing 2022,2022
Short Track Speed Skating,Women's 500m,,ROC,Sofia PROSVIRNOVA,China,Beijing 2022,2022
Short Track Speed Skating,Women's 1000m,,ROC,Sofia PROSVIRNOVA,China,Beijing 2022,2022
Short Track Speed Skating,Women's 1500m,,ROC,Sofia PROSVIRNOVA,China,Beijing 2022,2022
Short Track Speed Skating,Women's 500m,,Italy,Arianna FONTANA,China,Beijing 2022,2022
Short Track Speed Skating,Women's 1000m,,Italy,Arianna FONTANA,China,Beijing 2022,2022
Short Track Speed Skating,Women's 1500m,,Italy,Arianna FONTANA,China,Beijing 2022,2022
Short Track Speed Skating,Women's 500m,,Netherlands,Suzanne SCHULTING,China,Beijing 2022,2022
Short Track Speed Skating,Women's 1000m,,Netherlands,Suzanne SCHULTING,China,Beijing 2022,2022
Short Track Speed Skating,Women's 1500m,,Netherlands,Suzanne SCHULTING,China,Beijing 2022,2022
Short Track Speed Skating,Women's 500m,,People's Republic of China,Yuting ZHANG,China,Beijing 2022,2022
Short Track Speed Skating,Women's 1500m,,People's Republic of China,Yuting ZHANG,China,Beijing 2022,2022
Short Track Speed Skating,Women's 500m,,Italy,Arianna VALCEPINA,China,Beijing 2022,2022
Short Track Speed Skating,Women's 500m,,Canada,Alyson CHARLES,China,Beijing 2022,2022
Short Track Speed Skating,Women's 1000m,,Canada,Alyson CHARLES,China,Beijing 2022,2022
Short Track Speed Skating,Women's 500m,,Republic of Korea,Yubin LEE,China,Beijing 2022,2022
Short Track Speed Skating,Women's 1000m,,Republic of Korea,Yubin LEE,China,Beijing 2022,2022
Short Track Speed Skating,Women's 1500m,,Republic of Korea,Yubin LEE,China,Beijing 2022,2022
Short Track Speed Skating,Women's 500m,,Hungary,Zsofia KONYA,China,Beijing 2022,2022
Short Track Speed Skating,Women's 1000m,,Hungary,Zsofia KONYA,China,Beijing 2022,2022
Short Track Speed Skating,Women's 1500m,,Hungary,Zsofia KONYA,China,Beijing 2022,2022
Short Track Speed Skating,Women's 500m,,France,Gwendoline DAUDET,China,Beijing 2022,2022
Short Track Speed Skating,Women's 1000m,,France,Gwendoline DAUDET,China,Beijing 2022,2022
Short Track Speed Skating,Women's 1500m,,France,Gwendoline DAUDET,China,Beijing 2022,2022
Short Track Speed Skating,Women's 500m,,Croatia,Valentina ASCIC,China,Beijing 2022,2022
Short Track Speed Skating,Women's 1500m,,Croatia,Valentina ASCIC,China,Beijing 2022,2022
Short Track Speed Skating,Women's 500m,,Poland,Patrycja MALISZEWSKA,China,Beijing 2022,2022
Short Track Speed Skating,Women's 500m,,Republic of Korea,Minjeong CHOI,China,Beijing 2022,2022
Short Track Speed Skating,Women's 1000m,,Republic of Korea,Minjeong CHOI,China,Beijing 2022,2022
Short Track Speed Skating,Women's 1500m,,Republic of Korea,Minjeong CHOI,China,Beijing 2022,2022
Short Track Speed Skating,Women's 500m,,Czech Republic,Michaela HRUZOVA,China,Beijing 2022,2022
Short Track Speed Skating,Women's 1500m,,Czech Republic,Michaela HRUZOVA,China,Beijing 2022,2022
Short Track Speed Skating,Women's 500m,,Poland,Nikola MAZUR,China,Beijing 2022,2022
Short Track Speed Skating,Women's 500m,,Poland,Kamila STORMOWSKA,China,Beijing 2022,2022
Short Track Speed Skating,Women's 1000m,,Poland,Kamila STORMOWSKA,China,Beijing 2022,2022
Short Track Speed Skating,Women's 1500m,,Poland,Kamila STORMOWSKA,China,Beijing 2022,2022
Short Track Speed Skating,Women's 500m,,Great Britain,Kathryn THOMSON,China,Beijing 2022,2022
Short Track Speed Skating,Women's 1000m,,Great Britain,Kathryn THOMSON,China,Beijing 2022,2022
Short Track Speed Skating,Women's 500m,,People's Republic of China,Kexin FAN,China,Beijing 2022,2022
Short Track Speed Skating,Women's 500m,,Belgium,Hanne DESMET,China,Beijing 2022,2022
Short Track Speed Skating,Women's 1000m,,Belgium,Hanne DESMET,China,Beijing 2022,2022
Short Track Speed Skating,Women's 1500m,,Belgium,Hanne DESMET,China,Beijing 2022,2022
Short Track Speed Skating,Women's 500m,,Canada,Florence BRUNELLE,China,Beijing 2022,2022
Short Track Speed Skating,Women's 500m,,Hungary,Petra JASZAPATI,China,Beijing 2022,2022
Short Track Speed Skating,Women's 1000m,,Hungary,Petra JASZAPATI,China,Beijing 2022,2022
Short Track Speed Skating,Women's 1500m,,Hungary,Petra JASZAPATI,China,Beijing 2022,2022
Short Track Speed Skating,Women's 500m,,Japan,Sumire KIKUCHI,China,Beijing 2022,2022
Short Track Speed Skating,Women's 1000m,,Japan,Sumire KIKUCHI,China,Beijing 2022,2022
Short Track Speed Skating,Women's 1500m,,Japan,Sumire KIKUCHI,China,Beijing 2022,2022
Short Track Speed Skating,Women's 500m,,Netherlands,Selma POUTSMA,China,Beijing 2022,2022
Short Track Speed Skating,Women's 1000m,,Netherlands,Selma POUTSMA,China,Beijing 2022,2022
Short Track Speed Skating,Men's 500m,,Australia,Brendan Ronald COREY,China,Beijing 2022,2022
Short Track Speed Skating,Men's 1000m,,Australia,Brendan Ronald COREY,China,Beijing 2022,2022
Short Track Speed Skating,Men's 500m,,Belgium,Stijn DESMET,China,Beijing 2022,2022
Short Track Speed Skating,Men's 1500m,,Belgium,Stijn DESMET,China,Beijing 2022,2022
Short Track Speed Skating,Men's 1000m,,Belgium,Stijn DESMET,China,Beijing 2022,2022
Short Track Speed Skating,Men's 500m,,Canada,Maxime LAOUN,China,Beijing 2022,2022
Short Track Speed Skating,Men's 500m,,Canada,Jordan PIERRE-GILLES,China,Beijing 2022,2022
Short Track Speed Skating,Men's 1000m,,Canada,Jordan PIERRE-GILLES,China,Beijing 2022,2022
Short Track Speed Skating,Men's 500m,,Netherlands,Jens VAN 'T WOUT,China,Beijing 2022,2022
Short Track Speed Skating,Men's 1000m,,Netherlands,Jens VAN 'T WOUT,China,Beijing 2022,2022
Short Track Speed Skating,Men's 500m,,Kazakhstan,Denis NIKISHA,China,Beijing 2022,2022
Short Track Speed Skating,Men's 1500m,,Kazakhstan,Denis NIKISHA,China,Beijing 2022,2022
Short Track Speed Skating,Men's 500m,,Latvia,Roberts KRUZBERGS,China,Beijing 2022,2022
Short Track Speed Skating,Men's 1500m,,Latvia,Roberts KRUZBERGS,China,Beijing 2022,2022
Short Track Speed Skating,Men's 1000m,,Latvia,Roberts KRUZBERGS,China,Beijing 2022,2022
Short Track Speed Skating,Men's 500m,,Netherlands,Dylan HOOGERWERF,China,Beijing 2022,2022
Short Track Speed Skating,Men's 500m,,Japan,Kota KIKUCHI,China,Beijing 2022,2022
Short Track Speed Skating,Men's 1500m,,Japan,Kota KIKUCHI,China,Beijing 2022,2022
Short Track Speed Skating,Men's 500m,,Netherlands,Itzhak DE LAAT,China,Beijing 2022,2022
Short Track Speed Skating,Men's 1500m,,Netherlands,Itzhak DE LAAT,China,Beijing 2022,2022
Short Track Speed Skating,Men's 1000m,,Netherlands,Itzhak DE LAAT,China,Beijing 2022,2022
Short Track Speed Skating,Men's 500m,,"Hong Kong, China",Sidney K CHU,China,Beijing 2022,2022
Short Track Speed Skating,Men's 500m,,Israel,Vladislav BYKANOV,China,Beijing 2022,2022
Short Track Speed Skating,Men's 1500m,,Israel,Vladislav BYKANOV,China,Beijing 2022,2022
Short Track Speed Skating,Men's 1000m,,Israel,Vladislav BYKANOV,China,Beijing 2022,2022
Short Track Speed Skating,Men's 500m,,Italy,Pietro SIGHEL,China,Beijing 2022,2022
Short Track Speed Skating,Men's 1500m,,Italy,Pietro SIGHEL,China,Beijing 2022,2022
Short Track Speed Skating,Men's 1000m,,Italy,Pietro SIGHEL,China,Beijing 2022,2022
Short Track Speed Skating,Men's 500m,,Republic of Korea,Daeheon HWANG,China,Beijing 2022,2022
Short Track Speed Skating,Men's 1500m,,Republic of Korea,Daeheon HWANG,China,Beijing 2022,2022
Short Track Speed Skating,Men's 1000m,,Republic of Korea,Daeheon HWANG,China,Beijing 2022,2022
Short Track Speed Skating,Men's 500m,,Hungary,Shaoang LIU,China,Beijing 2022,2022
Short Track Speed Skating,Men's 1500m,,Hungary,Shaoang LIU,China,Beijing 2022,2022
Short Track Speed Skating,Men's 1000m,,Hungary,Shaoang LIU,China,Beijing 2022,2022
Short Track Speed Skating,Men's 500m,,Kazakhstan,Adil GALIAKHMETOV,China,Beijing 2022,2022
Short Track Speed Skating,Men's 1500m,,Kazakhstan,Adil GALIAKHMETOV,China,Beijing 2022,2022
Short Track Speed Skating,Men's 1000m,,Kazakhstan,Adil GALIAKHMETOV,China,Beijing 2022,2022
Short Track Speed Skating,Men's 500m,,Canada,Steven DUBOIS,China,Beijing 2022,2022
Short Track Speed Skating,Men's 1500m,,Canada,Steven DUBOIS,China,Beijing 2022,2022
Short Track Speed Skating,Men's 500m,,Ukraine,Oleh HANDEI,China,Beijing 2022,2022
Short Track Speed Skating,Men's 500m,,Kazakhstan,Abzal AZHGALIYEV,China,Beijing 2022,2022
Short Track Speed Skating,Men's 500m,,ROC,Konstantin IVLIEV,China,Beijing 2022,2022
Short Track Speed Skating,Men's 500m,,People's Republic of China,Ziwei REN,China,Beijing 2022,2022
Short Track Speed Skating,Men's 1500m,,People's Republic of China,Ziwei REN,China,Beijing 2022,2022
Short Track Speed Skating,Men's 1000m,,People's Republic of China,Ziwei REN,China,Beijing 2022,2022
Short Track Speed Skating,Men's 500m,,ROC,Pavel SITNIKOV,China,Beijing 2022,2022
Short Track Speed Skating,Men's 500m,,Japan,Katsunori KOIKE,China,Beijing 2022,2022
Short Track Speed Skating,Men's 500m,,People's Republic of China,Dajing WU,China,Beijing 2022,2022
Short Track Speed Skating,Men's 1000m,,People's Republic of China,Dajing WU,China,Beijing 2022,2022
Short Track Speed Skating,Men's 500m,,United States of America,Ryan PIVIROTTO,China,Beijing 2022,2022
Short Track Speed Skating,Men's 1500m,,United States of America,Ryan PIVIROTTO,China,Beijing 2022,2022
Short Track Speed Skating,Men's 1000m,,United States of America,Ryan PIVIROTTO,China,Beijing 2022,2022
Short Track Speed Skating,Men's 500m,,Hungary,Shaolin Sandor LIU,China,Beijing 2022,2022
Short Track Speed Skating,Men's 1500m,,Hungary,Shaolin Sandor LIU,China,Beijing 2022,2022
Short Track Speed Skating,Men's 1000m,,Hungary,Shaolin Sandor LIU,China,Beijing 2022,2022
Short Track Speed Skating,Men's 500m,,France,Quentin FERCOQ,China,Beijing 2022,2022
Short Track Speed Skating,Men's 1500m,,France,Quentin FERCOQ,China,Beijing 2022,2022
Short Track Speed Skating,Men's 1000m,,France,Quentin FERCOQ,China,Beijing 2022,2022
Short Track Speed Skating,Men's 500m,,Republic of Korea,Juneseo LEE,China,Beijing 2022,2022
Short Track Speed Skating,Men's 1500m,,Republic of Korea,Juneseo LEE,China,Beijing 2022,2022
Short Track Speed Skating,Men's 1000m,,Republic of Korea,Juneseo LEE,China,Beijing 2022,2022
Short Track Speed Skating,Men's 500m,,France,Sebastien LEPAPE,China,Beijing 2022,2022
Short Track Speed Skating,Men's 1500m,,France,Sebastien LEPAPE,China,Beijing 2022,2022
Short Track Speed Skating,Men's 1000m,,France,Sebastien LEPAPE,China,Beijing 2022,2022
Short Track Speed Skating,Men's 500m,,Italy,Andrea CASSINELLI,China,Beijing 2022,2022
Short Track Speed Skating,Men's 500m,,Hungary,John-Henry KRUEGER,China,Beijing 2022,2022
